Термин,Определение
Интерфейс,"набор правил, с помощью которых осуществляется взаимодействие элементов систем"
Информатика,"наука, изучающая закономерности получения, хранения, передачи и обработки информации в природе и человеческом обществе."
Информационная система,"система, способная воспринимать и обрабатывать информацию."
Информация,"сообщение, снижающее степень неопределенности знаний о состоянии предметов или явлений и помогающее решить поставленную задачу.<"
Исполнитель,"человек или автомат, способный выполнять определенный конечный набор действий."
Каталог (папка),"специально отведенное место на диске для хранения имен файлов, объединенных каким-либо признаком, вместе со сведениями об их типе, размере, времени создания."
Клавиатура,клавишное устройство управления компьютером.
Кодирование,представление данных одного типа через данные другого типа.
Команда,приказ исполнителю на выполнение действий из указанного конечного набора.<
Компьютер (ЭВМ),"универсальное электронное программно-управляемое устройство для хранения, обработки и передачи информации."
Компьютерная информатика,"естественнонаучная дисциплина, занимающуюся вопросами сбора, хранения, передачи, обработки и отображения информации с использованием средств вычислительной техники."
Компьютерная сеть,см. вычислительная сеть.
Компьютерный вирус,"специально написанная программа, производящая действия, несанкционированные пользователем."
Курсор,"световая метка на экране, обозначающая место активного воздействия на рабочее поле."
Линейный алгоритм,алгоритм с однозначным последовательным выполнением команд.
Локальная сеть,"компьютеры, расположенные в пределах одного или нескольких рядом стоящих зданий и объединенные с помощью кабелей и разъёмов."
Курсор,"световая метка на экране, обозначающая место активного воздействия на рабочее поле."
Машинно-зависимый язык,"язык программирования, зависящий от типа компьютера. Включает в себя набор команд, выполняемых процессором."
Микропроцессор,"сверхбольшая интегральная схема, выполняющая функции процессора. Микропроцессор создается на полупроводниковом кристалле (или нескольких кристаллах) путем применения сложной микроэлектронной технологии."
Многозадачная операционная система,"операционная система, управляющая распределением ресурсов вычислительной системы между приложениями и обеспечивающая возможность одновременного выполнения нескольких приложений, возможность обмена данными между приложениями и возможность совместного использования программных, аппаратных и сетевых ресурсов вычислительной системы есколькими приложениями."
Монитор,устройство визуального представления данных.
Мультимедиа средства,"программные и аппаратные средства компьютера, поддерживающие звук и цвет."
Мышь,устройство управления компьютером манипуляторного типа.
Накопители (дисководы),"устройства, обеспечивающие запись информации на носители, а также ее поиск и считывание в оперативную память."
Одноранговая сеть,"компьютерная сеть, состоящая из равноправных компьютеров."
Окно,"ограниченная рамкой часть экрана, с помощью которой обеспечивается взаимодействие программы с пользователем."
Оперативная память,"память компьютера, служащая для временного хранения программ и данных непосредственно во время вычислений."
Операционная система,"комплекс системных и служебных программ, управляющий ресурсами вычислительной системы и обеспечивающий пользовательский, программно-аппаратный и программный интерфейсы."
Пакетный режим,"режим работы операционной системы, в котором она автоматически исполняет заданную последовательность команд."
Память,"физическая система с большим числом возможных устойчивых состояний, служащая для хранения данных. Память ЭВМ можно разделить на внутреннюю (оперативную) память, регистры процессора и внешнюю память."
Параллельный интерфейс,"аппаратный интерфейс, через который данные передаются параллельно группами битов."
Печатный документ,"документ на бумажном носителе, создаваемый и распечатываемый на одном рабочем месте."
Пользовательский интерфей,интерфейс между пользователем и программно-аппаратными средствами компьютера.
Печатный документ,"документ на бумажном носителе, создаваемый и распечатываемый на одном рабочем месте."
Постоянное запоминающее устройство (ПЗУ),"быстрая, энергонезависимая память, предназначенная только для чтения."
Последовательный интерфейс,"аппаратный интерфейс, через который данные передаются последовательно бит за битом."
Предписание,см. команда/
Преобразование данных,перевод данных из одной формы в другую.
Прерывание,"способность операционной системы прервать текущую работу и отреагировать на события, вызванные либо пользователем с помощью управляющих устройств, либо устройствами компьютера, либо выполняемой программой."
Прикладное программное обеспечение,"комплекс прикладных программ, с помощью которых на данном рабочем месте выполняются конкретные работы."
Программа,конечная последовательность команд с указанием порядка их выполнения.
Программирование,"составление последовательности команд, которая необходима для решения поставленной задачи."
Программно-аппаратный интерфейс,интерфейса между программным и аппаратным обеспечением.
Программный интерфейс,интерфейс между разными видами программного обеспечения.
Протокол,"совокупность технических условий, которые должны быть обеспечены разработчиками для успешного согласования работы устройств или программ."
Рабочая книга,документ Excel.
Раздел,"совокупность абзацев, для которых сохраняется одинаковая специфика оформления размера и ориентации страницы, размера полей, нумерации страниц, оформления колонтитулов, количество колонок текста."
Распределенная база данных,"база данных, различные части которой хранятся на множестве компьютеров, объединенных между собой сетью."
Растровый редактор,"графический редактор, использующий в качестве элемента изображения точку, имеющую цвет и яркость. Используется, когда информация о цвете важнее информации о форме линии."
Регистры,внутренняя сверхбыстрая память процессора.
Редактирование,изменение уже существующего документа.
Реляционная базы данных,"база данных, содержащая информацию, организованную в виде таблиц."
Рецензирование,редактирование текста с регистрацией изменений и его комментирование.
Сбор данных,накопление информации с целью обеспечения достаточной полноты для принятия решений.
Связывание,включение в документ указателя на местоположение связываемого объекта.
Сигнал,"изменение некоторой физической величины во времени, обеспечивающее передачу сообщений."
Синтаксис,"совокупность правил, с помощью которых строятся правильные предложения."
Система команд процессора,"совокупность команд, выполняемых процессором конкретной ЭВМ. Включает в себя команды, выполняющие арифметические и логические операции, операции управления последовательностью выполнения команд, операции передачи и пр."
Система управления базой данных (СУБД),"комплекс программных средств, предназначенных для создания новой структуры базы, наполнения ее содержимым, редактирования содержимого и его визуализации."
Системное программное обеспечение,"совокупность программ, обеспечивающих взаимодействие прочих программ вычислительной системы с программами базового уровня и непосредственно с аппаратным обеспечением."
Системный блок,"основной узел компьютера, внутри которого установлены наиболее важные компоненты: материнская плата с процессором, жесткий диск, дисковод гибких дисков, дисковод компакт-дисков."
Слово,конечная упорядоченная последовательность букв алфавита.
Служебное программное обеспечение,"совокупность программ, предназначенных для автоматизации работ по проверке, наладке и настройке вычислительной системы, а также для расширения и улучшения функций системных программ."
Сортировка данных,упорядочение данных по заданному признаку с целью удобства использования.
Стиль оформления,"именованная совокупность настроек параметров шрифта, абзаца, языка и некоторых элементов оформления абзаца, таких как рамки и линии."
Таблица размещения файлов (FAT),"специальная таблица системной области диска, в которой хранятся данные о местоположении файлов на диске."
Табличный процессор (электронная таблица),"прикладная программа, предназначенная для хранения данных различных типов в табличной форме и их обработки."
Текстовый процессор,"прикладная программа, предназначенная для создания, редактирования и форматирования текстовых документов."
Текстовый редактор,"прикладная программа, предназначенная для ввода текстов в компьютер их редактирования."
Текущий дисковод,"это дисковод, с которым работает пользователь в настоящее время."
Топология сети,способ соединения компьютеров в вычислительную сеть.
Транслятор,"программа, преобразующая исходный текст программы на языке программирования в команды процессора."
Транспортировка данных,приём и передача данных между удаленными участниками информационного процесса.
Управляющее устройство,"часть процессора, которая определяет последовательность выполнения команд, занимается поиском их в памяти и декодированием, вырабатывает последовательность управляющих сигналов, координирующую совместную работу всех узлов ЭВМ."
Файл,"1. логически связанная последовательность данных одного типа, имеющая имя; 2. последовательность произвольного числа байтов памяти, имеющая имя."
Файловая система,"комплекс программ операционной системы, обеспечивающий  хранения данных на дисках и доступ к ним."
Файловый сервер,"специальный компьютер, выделенный для совместного использования участниками сети."
Фильтрация данных,"отсеивание данных, в которых нет необходимости для принятия решений, снижающее уровень шума и повышающее достоверность и адекватность данных."
Формализация данных,"приведение данных, поступающих из разных источников, к одинаковой форме, что позволяет сделать их сопоставимыми между собой."
Форма,"это специальное средство для ввода данных, предоставляющее конечному пользователю возможность заполнения только тех полей базы данных, к которым у него есть право доступа."
Форматирование,"оформление документа с использованием методов выравнивания текста, применением различных шрифтов, встраиванием в текстовый документ рисунков и других объектов и пр."
Центральный процессор,"основной элементом компьютера, обеспечивающий выполнение программ и управление всеми устройствами компьютера. Состоит из управляющего и арифметическо-логического устройств."
Шаблон,"набор настроек, таких как тип и размер шрифта, параметры абзаца и других, хранимый в отдельном файле."
Электронная таблица,см. табличный процессор.
Электронный документ,"документ, создаваемый в электронном виде в формате текстового процессора."
Язык программирования (алгоритмический язык),"искусственный язык, предназначенный для записи программ."
Ячейка,минимальный элемент для хранения данных.
Web-документ,"электронный документ, предназначенный для просмотра на экране компьютера средствами Internet   "
